 Day of  Day of Year Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year        mass   depth    T      T      T      T
  183     183        1   356.00    0.89   16.89   13.19    8.15   14.48
  184     184        1   360.00    0.90   16.97   13.33    8.30   14.57
  185     185        1   364.00    0.91   17.04   13.47    8.45   14.66
  186     186        1   368.00    0.92   17.12   13.61    8.60   14.75
  187     187        1   372.00    0.93   17.19   13.74    8.75   14.84
  188     188        1   376.00    0.94   17.26   13.88    8.90   14.93
  189     189        1   380.00    0.95   17.32   14.01    9.04   15.01
  190     190        1   384.00    0.96   17.38   14.14    9.19   15.10
  191     191        1   388.00    0.97   17.44   14.27    9.34   15.18
  192     192        1   392.00    0.98   17.50   14.40    9.48   15.26
  193     193        1   396.00    0.99   17.55   14.52    9.63   15.34
  194     194        1   400.00    1.00   17.60   14.65    9.77   15.42
  195     195        1   404.00    1.01   17.65   14.77    9.92   15.50
  196     196        1   408.00    1.02   17.70   14.89   10.06   15.58
  197     197        1   412.00    1.03   17.74   15.00   10.21   15.65
  198     198        1   416.00    1.04   17.78   15.12   10.35   15.73
  199     199        1   420.00    1.05   17.81   15.23   10.49   15.80
  200     200        1   424.00    1.06   17.84   15.34   10.63   15.87
  201     201        1   428.00    1.07   17.87   15.45   10.77   15.94
  202     202        1   432.00    1.08   17.90   15.55   10.91   16.01
  203     203        1   436.00    1.09   17.92   15.65   11.04   16.07
  204     204        1   440.00    1.10   17.94   15.75   11.18   16.14
  205     205        1   444.00    1.11   17.96   15.85   11.32   16.20
  206     206        1   448.00    1.12   17.98   15.95   11.45   16.26
  207     207        1   452.00    1.13   17.99   16.04   11.58   16.33
  208     208        1   456.00    1.14   17.99   16.13   11.71   16.38
  209     209        1   460.00    1.15   18.00   16.22   11.85   16.44
  210     210        1   464.00    1.16   18.00   16.30   11.97   16.50
  211     211        1   468.00    1.17   18.00   16.39   12.10   16.55
  212     212        1   472.00    1.18   17.99   16.47   12.23   16.61
  213     213        1   476.00    1.19   17.99   16.55   12.35   16.66
  214     214        1   480.00    1.20   17.98   16.62   12.48   16.71
  215     215        1   484.00    1.21   17.96   16.69   12.60   16.76
  216     216        1   488.00    1.22   17.94   16.76   12.72   16.80
  217     217        1   492.00    1.23   17.92   16.83   12.84   16.85
  218     218        1   496.00    1.24   17.90   16.89   12.96   16.89
  219     219        1   500.00    1.25   17.87   16.95   13.07   16.93
  220     220        1   504.00    1.26   17.84   17.01   13.19   16.97
  221     221        1   508.00    1.27   17.81   17.07   13.30   17.01
  222     222        1   512.00    1.28   17.78   17.12   13.41   17.05
  223     223        1   516.00    1.29   17.74   17.17   13.52   17.08
  224     224        1   520.00    1.30   17.70   17.22   13.63   17.11
  225     225        1   524.00    1.31   17.65   17.26   13.74   17.15
  226     226        1   528.00    1.32   17.60   17.30   13.84   17.18
  227     227        1   532.00    1.33   17.55   17.34   13.94   17.20
  228     228        1   536.00    1.34   17.50   17.38   14.04   17.23
  229     229        1   540.00    1.35   17.44   17.41   14.14   17.25
  230     230        1   544.00    1.36   17.38   17.44   14.24   17.28
  231     231        1   548.00    1.37   17.32   17.46   14.33   17.30
  232     232        1   552.00    1.38   17.26   17.49   14.42   17.32
  233     233        1   556.00    1.39   17.19   17.51   14.51   17.34
  234     234        1   560.00    1.40   17.12   17.53   14.60   17.35
  235     235        1   564.00    1.41   17.04   17.54   14.69   17.37
  236     236        1   568.00    1.42   16.97   17.55   14.77   17.38
  237     237        1   572.00    1.43   16.89   17.56   14.85   17.39
  238     238        1   576.00    1.44   16.80   17.57   14.93   17.40
  239     239        1   580.00    1.45   16.72   17.57   15.01   17.40
  240     240        1   584.00    1.46   16.63   17.57   15.08   17.41
  241     241        1   588.00    1.47   16.54   17.57   15.16   17.41
  242     242        1   592.00    1.48   16.45   17.56   15.23   17.41
  243     243        1   596.00    1.49   16.35   17.55   15.30   17.41
  244     244        1   600.00    1.50   16.25   17.54   15.36   17.41
  245     245        1   604.00    1.51   16.15   17.53   15.42   17.41
  246     246        1   608.00    1.52   16.05   17.51   15.49   17.40
  247     247        1   612.00    1.53   15.94   17.49   15.55   17.39
  248     248        1   616.00    1.54   15.83   17.46   15.60   17.38
  249     249        1   620.00    1.55   15.72   17.44   15.66   17.37
  250     250        1   624.00    1.56   15.61   17.41   15.71   17.36
  251     251        1   628.00    1.57   15.49   17.38   15.76   17.35
  252     252        1   632.00    1.58   15.37   17.34   15.80   17.33
  253     253        1   636.00    1.59   15.25   17.30   15.85   17.31
  254     254        1   640.00    1.60   15.13   17.26   15.89   17.29
  255     255        1   644.00    1.61   15.00   17.22   15.93   17.27
  256     256        1   648.00    1.62   14.88   17.17   15.97   17.25
  257     257        1   652.00    1.63   14.75   17.12   16.00   17.22
  258     258        1   656.00    1.64   14.61   17.07   16.03   17.19
  259     259        1   660.00    1.65   14.48   17.01   16.06   17.17
  260     260        1   664.00    1.66   14.34   16.95   16.09   17.14
  261     261        1   668.00    1.67   14.21   16.89   16.11   17.10
  262     262        1   672.00    1.68   14.07   16.83   16.14   17.07
  263     263        1   676.00    1.69   13.92   16.76   16.16   17.03
  264     264        1   680.00    1.70   13.78   16.69   16.17   17.00
  265     265        1   684.00    1.71   13.64   16.62   16.19   16.96
  266     266        1   688.00    1.72   13.49   16.55   16.20   16.92
  267     267        1   692.00    1.73   13.34   16.47   16.21   16.87
  268     268        1   696.00    1.74   13.19   16.39   16.21   16.83
  269     269        1   700.00    1.75   13.03   16.30   16.22   16.79
  270     270        1   704.00    1.76   12.88   16.22   16.22   16.74
  271     271        1   708.00    1.77   12.72   16.13   16.22   16.69
  272     272        1   712.00    1.78   12.57   16.04   16.21   16.64
  273     273        1   716.00    1.79   12.41   15.95   16.21   16.59
  274     274        1   720.00    1.80   12.25   15.85   16.20   16.53
  275     275        1   724.00    1.81   12.08   15.75   16.19   16.48
  276     276        1   728.00    1.82   11.92   15.65   16.17   16.42
  277     277        1   732.00    1.83   11.76   15.55   16.16   16.36
  278     278        1   736.00    1.84   11.59   15.45   16.14   16.30
  279     279        1   740.00    1.85   11.42   15.34   16.11   16.24
  280     280        1   744.00    1.86   11.26   15.23   16.09   16.18
  281     281        1   748.00    1.87   11.09   15.12   16.06   16.11
  282     282        1   752.00    1.88   10.92   15.00   16.03   16.05
  283     283        1   756.00    1.89   10.74   14.89   16.00   15.98
  284     284        1   760.00    1.90   10.57   14.77   15.97   15.91
  285     285        1   764.00    1.91   10.40   14.65   15.93   15.84
  286     286        1   768.00    1.92   10.22   14.52   15.89   15.77
  287     287        1   772.00    1.93   10.05   14.40   15.85   15.70
  288     288        1   776.00    1.94    9.87   14.27   15.80   15.62
  289     289        1   780.00    1.95    9.70   14.14   15.76   15.55
  290     290        1   784.00    1.96    9.52   14.01   15.71   15.47
  291     291        1   788.00    1.97    9.34   13.88   15.66   15.39
  292     292        1   792.00    1.98    9.16   13.74   15.60   15.31
  293     293        1   796.00    1.99    8.99   13.61   15.55   15.23
  294     294        1   800.00    2.00    8.81   13.47   15.49   15.15
  295     295        1   804.00    2.01    8.63   13.33   15.42   15.06
  296     296        1   808.00    2.02    8.45   13.19   15.36   14.98
  297     297        1   812.00    2.03    8.27   13.04   15.30   14.89
  298     298        1   816.00    2.04    8.09   12.90   15.23   14.81
  299     299        1   820.00    2.05    7.91   12.75   15.16   14.72
  300     300        1   824.00    2.06    7.73   12.60   15.08   14.63
  301     301        1   828.00    2.07    7.55   12.45   15.01   14.54
  302     302        1   832.00    2.08    7.36   12.30   14.93   14.45
  303     303        1   836.00    2.09    7.18   12.15   14.85   14.35
  304     304        1   840.00    2.10    7.00   11.99   14.77   14.26
  305     305        1   844.00    2.11    6.82   11.84   14.69   14.17
  306     306        1   848.00    2.12    6.64   11.68   14.60   14.07
  307     307        1   852.00    2.13    6.46   11.52   14.51   13.97
  308     308        1   856.00    2.14    6.28   11.36   14.42   13.87
  309     309        1   860.00    2.15    6.10   11.20   14.33   13.78
  310     310        1   864.00    2.16    5.92   11.04   14.24   13.68
  311     311        1   868.00    2.17    5.75   10.88   14.14   13.58
  312     312        1   872.00    2.18    5.57   10.72   14.04   13.47
  313     313        1   876.00    2.19    5.39   10.55   13.94   13.37
  314     314        1   880.00    2.20    5.21   10.39   13.84   13.27
  315     315        1   884.00    2.21    5.04   10.22   13.74   13.17
  316     316        1   888.00    2.22    4.86   10.05   13.63   13.06
  317     317        1   892.00    2.23    4.69    9.89   13.52   12.96
  318     318        1   896.00    2.24    4.51    9.72   13.41   12.85
  319     319        1   900.00    2.25    4.34    9.55   13.30   12.74
  320     320        1   904.00    2.26    4.17    9.38   13.19   12.64
  321     321        1   908.00    2.27    4.00    9.21   13.07   12.53
  322     322        1   912.00    2.28    3.83    9.04   12.96   12.42
  323     323        1   916.00    2.29    3.66    8.87   12.84   12.31
  324     324        1   920.00    2.30    3.49    8.70   12.72   12.20
  325     325        1   924.00    2.31    3.33    8.52   12.60   12.09
  326     326        1   928.00    2.32    3.16    8.35   12.48   11.98
  327     327        1   932.00    2.33    3.00    8.18   12.35   11.87
  328     328        1   936.00    2.34    2.83    8.01   12.23   11.76
  329     329        1   940.00    2.35    2.67    7.83   12.10   11.64
  330     330        1   944.00    2.36    2.51    7.66   11.97   11.53
  331     331        1   948.00    2.37    2.35    7.49   11.85   11.42
  332     332        1   952.00    2.38    2.20    7.32   11.71   11.30
  333     333        1   956.00    2.39    2.04    7.14   11.58   11.19
  334     334        1   960.00    2.40    1.89    6.97   11.45   11.08
  335     335        1   964.00    2.41    1.74    6.80   11.32   10.96
  336     336        1   968.00    2.42    1.59    6.63   11.18   10.85
  337     337        1   972.00    2.43    1.44    6.45   11.04   10.73
  338     338        1   976.00    2.44    1.29    6.28   10.91   10.62
  339     339        1   980.00    2.45    1.15    6.11   10.77   10.50
  340     340        1   984.00    2.46    1.00    5.94   10.63   10.39
  341     341        1   988.00    2.47    0.86    5.77   10.49   10.28
  342     342        1   992.00    2.48    0.72    5.60   10.35   10.16
  343     343        1   996.00    2.49    0.59    5.43   10.21   10.04
  344     344        1  1000.00    2.50    0.45    5.26   10.06    9.93
  345     345        1  1004.00    2.51    0.32    5.09    9.92    9.82
  346     346        1  1008.00    2.52    0.19    4.93    9.77    9.70
  347     347        1  1012.00    2.53    0.06    4.76    9.63    9.59
  348     348        1  1016.00    2.54   -0.07    4.59    9.48    9.47
  349     349        1  1020.00    2.55   -0.19    4.43    9.34    9.36
  350     350        1  1024.00    2.56   -0.31    4.27    9.19    9.24
  351     351        1  1028.00    2.57   -0.43    4.10    9.04    9.13
  352     352        1  1032.00    2.58   -0.55    3.94    8.90    9.02
  353     353        1  1036.00    2.59   -0.66    3.78    8.75    8.90
  354     354        1  1040.00    2.60   -0.78    3.62    8.60    8.79
  355     355        1  1044.00    2.61   -0.89    3.46    8.45    8.68
  356     356        1  1048.00    2.62   -0.99    3.30    8.30    8.56
  357     357        1  1052.00    2.63   -1.10    3.15    8.15    8.45
  358     358        1  1056.00    2.64   -1.20    2.99    8.00    8.34
  359     359        1  1060.00    2.65   -1.30    2.84    7.85    8.23
  360     360        1  1064.00    2.66   -1.40    2.69    7.70    8.12
  361     361        1  1068.00    2.67   -1.49    2.54    7.55    8.01
  362     362        1  1072.00    2.68   -1.59    2.39    7.40    7.90
  363     363        1  1076.00    2.69   -1.67    2.24    7.25    7.79
  364     364        1  1080.00    2.70   -1.76    2.09    7.10    7.68
  365     365        1  1084.00    2.71   -1.85    1.95    6.95    7.57
  366       1        2  1088.00    2.72   -1.93    1.81    6.81    7.46
  367       2        2  1092.00    2.73   -2.00    1.67    6.66    7.35
  368       3        2  1096.00    2.74   -2.08    1.53    6.51    7.24
  369       4        2  1100.00    2.75   -2.15    1.39    6.36    7.14
  370       5        2  1104.00    2.76   -2.22    1.25    6.21    7.03
  371       6        2  1108.00    2.77   -2.29    1.12    6.06    6.93
  372       7        2  1112.00    2.78   -2.35    0.99    5.91    6.82
  373       8        2  1116.00    2.79   -2.41    0.86    5.77    6.72
  374       9        2  1120.00    2.80   -2.47    0.73    5.62    6.62
  375      10        2  1124.00    2.81   -2.53    0.60    5.48    6.51
  376      11        2  1128.00    2.82   -2.58    0.48    5.33    6.41
  377      12        2  1132.00    2.83   -2.63    0.36    5.19    6.31
  378      13        2  1136.00    2.84   -2.67    0.24    5.04    6.21
  379      14        2  1140.00    2.85   -2.72    0.12    4.90    6.12
  380      15        2  1144.00    2.86   -2.76    0.00    4.76    6.02
  381      16        2  1148.00    2.87   -2.79   -0.11    4.61    5.92
  382      17        2  1152.00    2.88   -2.83   -0.22    4.47    5.83
  383      18        2  1156.00    2.89   -2.86   -0.33    4.33    5.73
  384      19        2  1160.00    2.90   -2.89   -0.44    4.19    5.64
  385      20        2  1164.00    2.91   -2.91   -0.54    4.06    5.55
  386      21        2  1168.00    2.92   -2.93   -0.64    3.92    5.45
  387      22        2  1172.00    2.93   -2.95   -0.74    3.78    5.36
  388      23        2  1176.00    2.94   -2.97   -0.84    3.65    5.27
  389      24        2  1180.00    2.95   -2.98   -0.93    3.52    5.19
  390      25        2  1184.00    2.96   -2.99   -1.02    3.38    5.10
  391      26        2  1188.00    2.97   -3.00   -1.11    3.25    5.01
  392      27        2  1192.00    2.98   -3.00   -1.20    3.12    4.93
  393      28        2  1196.00    2.99   -3.00   -1.28    2.99    4.85
  394      29        2  1200.00    3.00   -3.00   -1.36    2.87    4.77
  395      30        2  1204.00    3.01   -2.99   -1.44    2.74    4.68
  396      31        2  1208.00    3.02   -2.98   -1.52    2.62    4.61
  397      32        2  1212.00    3.03   -2.97   -1.59    2.49    4.53
  398      33        2  1216.00    3.04   -2.95   -1.66    2.37    4.45
  399      34        2  1220.00    3.05   -2.93   -1.73    2.25    4.38
  400      35        2  1224.00    3.06   -2.91   -1.80    2.13    4.30
  401      36        2  1228.00    3.07   -2.89   -1.86    2.02    4.23
  402      37        2  1232.00    3.08   -2.86   -1.92    1.90    4.16
  403      38        2  1236.00    3.09   -2.83   -1.98    1.79    4.09
  404      39        2  1240.00    3.10   -2.79   -2.03    1.67    4.02
  405      40        2  1244.00    3.11   -2.76   -2.08    1.56    3.95
  406      41        2  1248.00    3.12   -2.72   -2.13    1.46    3.89
  407      42        2  1252.00    3.13   -2.67   -2.17    1.35    3.82
  408      43        2  1256.00    3.14   -2.63   -2.22    1.24    3.76
  409      44        2  1260.00    3.15   -2.58   -2.26    1.14    3.70
  410      45        2  1264.00    3.16   -2.53   -2.29    1.04    3.64
  411      46        2  1268.00    3.17   -2.47   -2.33    0.94    3.58
  412      47        2  1272.00    3.18   -2.41   -2.36    0.84    3.52
  413      48        2  1276.00    3.19   -2.35   -2.39    0.75    3.47
  414      49        2  1280.00    3.20   -2.29   -2.41    0.66    3.42
  415      50        2  1284.00    3.21   -2.22   -2.43    0.56    3.36
  416      51        2  1288.00    3.22   -2.15   -2.45    0.48    3.31
  417      52        2  1292.00    3.23   -2.08   -2.47    0.39    3.27
  418      53        2  1296.00    3.24   -2.00   -2.48    0.30    3.22
  419      54        2  1300.00    3.25   -1.93   -2.49    0.22    3.17
  420      55        2  1304.00    3.26   -1.85   -2.50    0.14    3.13
  421      56        2  1308.00    3.27   -1.76   -2.51    0.06    3.09
  422      57        2  1312.00    3.28   -1.67   -2.51   -0.01    3.05
  423      58        2  1316.00    3.29   -1.59   -2.51   -0.09    3.01
  424      59        2  1320.00    3.30   -1.49   -2.50   -0.16    2.97
  425      60        2  1324.00    3.31   -1.40   -2.49   -0.23    2.94
  426      61        2  1328.00    3.32   -1.30   -2.48   -0.30    2.90
  427      62        2  1332.00    3.33   -1.20   -2.47   -0.36    2.87
  428      63        2  1336.00    3.34   -1.10   -2.45   -0.42    2.84
  429      64        2  1340.00    3.35   -0.99   -2.43   -0.48    2.81
  430      65        2  1344.00    3.36   -0.89   -2.41   -0.54    2.78
  431      66        2  1348.00    3.37   -0.78   -2.39   -0.60    2.76
  432      67        2  1352.00    3.38   -0.66   -2.36   -0.65    2.73
  433      68        2  1356.00    3.39   -0.55   -2.33   -0.70    2.71
