 Day of  Day of
 sim.     year         Qrad         Qslur2air     Qslur2floor      Qslur2wall       Qout
  197     319          -8746.         10798.          -208.          -580.          1263.
  198     320          -8692.         10855.          -287.          -573.          1302.
  199     321          -8639.         10909.          -366.          -565.          1340.
  200     322          -8588.         10962.          -443.          -555.          1376.
  201     323          -8538.         11013.          -518.          -545.          1412.
  202     324          -8490.         11062.          -593.          -533.          1446.
  203     325          -8443.         11109.          -666.          -521.          1479.
  204     326          -8398.         11154.          -737.          -508.          1511.
  205     327          -8355.         11197.          -808.          -493.          1542.
  206     328          -8313.         11238.          -877.          -478.          1571.
  207     329          -8272.         11277.          -944.          -461.          1599.
  208     330          -8233.         11313.         -1011.          -444.          1626.
  209     331          -8196.         11348.         -1076.          -425.          1651.
  210     332          -8160.         11381.         -1139.          -405.          1676.
  211     333          -8127.         11411.         -1201.          -384.          1699.
  212     334          -8094.         11439.         -1262.          -362.          1720.
  213     335          -8063.         11465.         -1321.          -339.          1741.
  214     336          -8034.         11489.         -1379.          -315.          1760.
  215     337          -8007.         11510.         -1436.          -290.          1777.
  216     338          -7981.         11529.         -1491.          -264.          1794.
  217     339          -7957.         11546.         -1544.          -236.          1808.
  218     340          -7935.         11561.         -1596.          -208.          1822.
  219     341          -7914.         11573.         -1647.          -178.          1834.
  220     342          -7895.         11583.         -1696.          -147.          1845.
  221     343          -7878.         11591.         -1744.          -115.          1854.
  222     344          -7863.         11597.         -1790.           -82.          1862.
  223     345          -7849.         11600.         -1835.           -48.          1868.
  224     346          -7837.         11600.         -1878.           -13.          1873.
  225     347          -7826.         11599.         -1920.            24.          1877.
  226     348          -7818.         11595.         -1960.            61.          1879.
  227     349          -7811.         11588.         -1999.           100.          1879.
  228     350          -7805.         11580.         -2036.           140.          1878.
  229     351          -7802.         11569.         -2072.           181.          1876.
  230     352          -7800.         11555.         -2106.           223.          1872.
  231     353          -7800.         11539.         -2138.           266.          1867.
  232     354          -7802.         11521.         -2169.           310.          1860.
  233     355          -7805.         11500.         -2199.           355.          1852.
  234     356          -7811.         11477.         -2227.           402.          1842.
  235     357          -7818.         11452.         -2253.           449.          1830.
  236     358          -7826.         11424.         -2278.           498.          1817.
  237     359          -7837.         11394.         -2302.           548.          1803.
  238     360          -7849.         11361.         -2323.           598.          1787.
  239     361          -7863.         11326.         -2344.           650.          1770.
  240     362          -7878.         11289.         -2362.           703.          1751.
  241     363          -7895.         11249.         -2380.           756.          1730.
  242     364          -7914.         11207.         -2395.           811.          1708.
  243     365          -7935.         11162.         -2409.           867.          1685.
  244       1          -7957.         11115.         -2422.           924.          1660.
  245       2          -7981.         11066.         -2433.           981.          1633.
  246       3          -8007.         11015.         -2442.          1040.          1605.
  247       4          -8034.         10961.         -2450.          1100.          1576.
  248       5          -8063.         10904.         -2457.          1160.          1545.
  249       6          -8094.         10846.         -2462.          1222.          1512.
  250       7          -8127.         10785.         -2465.          1284.          1478.
  251       8          -8160.         10722.         -2467.          1347.          1442.
  252       9          -8196.         10657.         -2467.          1411.          1405.
  253      10          -8233.         10589.         -2466.          1476.          1367.
  254      11          -8272.         10519.         -2463.          1542.          1326.
  255      12          -8313.         10447.         -2459.          1609.          1285.
  256      13          -8355.         10373.         -2453.          1676.          1242.
  257      14          -8398.         10297.         -2445.          1744.          1197.
  258      15          -8443.         10218.         -2437.          1813.          1151.
  259      16          -8490.         10137.         -2426.          1883.          1104.
  260      17          -8538.         10054.         -2415.          1953.          1055.
  261      18          -8588.          9969.         -2401.          2025.          1005.
  262      19          -8639.          9882.         -2386.          2096.           953.
  263      20          -8692.          9793.         -2370.          2169.           900.
  264      21          -8746.          9702.         -2353.          2242.           845.
  265      22          -8802.          9609.         -2333.          2315.           789.
  266      23          -8859.          9514.         -2313.          2390.           732.
  267      24          -8917.          9417.         -2291.          2465.           673.
  268      25          -8977.          9318.         -2267.          2540.           613.
  269      26          -9038.          9217.         -2242.          2616.           552.
  270      27          -9101.          9114.         -2216.          2692.           489.
  271      28          -9165.          9009.         -2188.          2769.           425.
  272      29          -9230.          8903.         -2159.          2846.           359.
  273      30          -9297.          8794.         -2129.          2924.           292.
  274      31          -9365.          8684.         -2097.          3002.           224.
  275      32          -9434.          8573.         -2064.          3080.           155.
  276      33          -9505.          8459.         -2029.          3159.            84.
  277      34          -9576.          8344.         -1993.          3238.            13.
  278      35          -9649.          8227.         -1956.          3317.           -60.
  279      36          -9723.          8109.         -1917.          3397.          -135.
  280      37          -9798.          7989.         -1878.          3477.          -210.
  281      38          -9875.          7868.         -1836.          3557.          -287.
  282      39          -9952.          7745.         -1794.          3637.          -364.
  283      40         -10031.          7620.         -1750.          3717.          -443.
  284      41         -10110.          7495.         -1705.          3798.          -523.
  285      42         -10191.          7367.         -1659.          3878.          -604.
  286      43         -10273.          7239.         -1612.          3959.          -687.
  287      44         -10356.          7109.         -1563.          4040.          -770.
  288      45         -10439.          6978.         -1513.          4120.          -854.
  289      46         -10524.          6846.         -1462.          4201.          -939.
  290      47         -10609.          6712.         -1410.          4282.         -1026.
  291      48         -10696.          6578.         -1357.          4362.         -1113.
  292      49         -10783.          6442.         -1302.          4442.         -1201.
  293      50         -10872.          6305.         -1247.          4523.         -1290.
  294      51         -10961.          6167.         -1190.          4603.         -1380.
  295      52         -11050.          6029.         -1132.          4683.         -1471.
  296      53         -11141.          5889.         -1073.          4762.         -1563.
  297      54         -11232.          5748.         -1013.          4842.         -1656.
  298      55         -11324.          5607.          -952.          4921.         -1749.
  299      56         -11417.          5464.          -890.          5000.         -1843.
  300      57         -11511.          5321.          -827.          5078.         -1938.
  301      58         -11605.          5178.          -763.          5156.         -2034.
  302      59         -11699.          5033.          -698.          5234.         -2130.
  303      60         -11794.          4888.          -632.          5311.         -2227.
  304      61         -11890.          4742.          -565.          5388.         -2325.
  305      62         -11986.          4596.          -497.          5464.         -2423.
  306      63         -12083.          4449.          -428.          5540.         -2522.
  307      64         -12181.          4302.          -359.          5615.         -2622.
  308      65         -12278.          4155.          -288.          5690.         -2722.
  309      66         -12376.          4007.          -217.          5764.         -2823.
  310      67         -12475.          3859.          -145.          5837.         -2924.
  311      68         -12574.          3710.           -72.          5910.         -3025.
  312      69         -12673.          3562.             2.          5982.         -3127.
  313      70         -12772.          3413.            77.          6053.         -3229.
  314      71         -12872.          3264.           152.          6124.         -3332.
  315      72         -12972.          3115.           228.          6194.         -3435.
  316      73         -13072.          2966.           305.          6263.         -3539.
  317      74         -13172.          2817.           382.          6331.         -3642.
  318      75         -13273.          2668.           461.          6398.         -3746.
  319      76         -13373.          2519.           539.          6465.         -3850.
  320      77         -13474.          2370.           619.          6530.         -3955.
  321      78         -13574.          2221.           699.          6595.         -4059.
  322      79         -13675.          2073.           780.          6659.         -4164.
  323      80         -13776.          1925.           861.          6721.         -4268.
  324      81         -13877.          1778.           943.          6783.         -4373.
  325      82         -13977.          1631.          1025.          6844.         -4478.
  326      83         -14078.          1484.          1108.          6903.         -4583.
  327      84         -14178.          1338.          1191.          6962.         -4687.
  328      85         -14278.          1192.          1275.          7019.         -4792.
  329      86         -14378.          1047.          1359.          7075.         -4897.
  330      87         -14478.           902.          1444.          7131.         -5001.
  331      88         -14578.           759.          1529.          7185.         -5105.
  332      89         -14677.           616.          1615.          7237.         -5209.
  333      90         -14776.           473.          1700.          7289.         -5313.
  334      91         -14874.           332.          1787.          7339.         -5417.
  335      92         -14973.           191.          1873.          7388.         -5520.
  336      93         -15071.            52.          1960.          7436.         -5623.
  337      94         -15168.           -87.          2047.          7482.         -5725.
  338      95         -15265.          -224.          2134.          7528.         -5828.
  339      96         -15362.          -361.          2222.          7571.         -5929.
  340      97         -15458.          -496.          2310.          7614.         -6031.
  341      98         -15553.          -631.          2398.          7655.         -6131.
  342      99         -15648.          -764.          2486.          7695.         -6232.
  343     100         -15743.          -896.          2574.          7733.         -6331.
  344     101         -15836.         -1026.          2663.          7770.         -6430.
  345     102         -15929.         -1156.          2751.          7805.         -6529.
  346     103         -16022.         -1284.          2840.          7839.         -6626.
  347     104         -16113.         -1410.          2929.          7872.         -6723.
  348     105         -16204.         -1535.          3017.          7903.         -6820.
  349     106         -16295.         -1659.          3106.          7932.         -6915.
  350     107         -16384.         -1781.          3195.          7960.         -7010.
  351     108         -16473.         -1901.          3284.          7986.         -7104.
  352     109         -16560.         -2020.          3372.          8011.         -7196.
  353     110         -16647.         -2137.          3461.          8035.         -7289.
  354     111         -16733.         -2252.          3550.          8057.         -7380.
  355     112         -16819.         -2366.          3638.          8077.         -7470.
  356     113         -16903.         -2478.          3726.          8096.         -7559.
  357     114         -16986.         -2588.          3814.          8113.         -7647.
  358     115         -17068.         -2696.          3902.          8128.         -7734.
  359     116         -17149.         -2803.          3990.          8142.         -7820.
  360     117         -17230.         -2907.          4078.          8154.         -7905.
  361     118         -17309.         -3009.          4165.          8165.         -7988.
  362     119         -17387.         -3110.          4252.          8174.         -8070.
  363     120         -17464.         -3208.          4339.          8181.         -8152.
  364     121         -17539.         -3304.          4425.          8187.         -8231.
  365     122         -17614.          5319.         12139.            66.           -90.
  366     123         -17688.          4820.         11869.           129.          -869.
  367     124         -17760.          4381.         11649.           190.         -1539.
  368     125         -17831.          4052.         11523.           249.         -2006.
  369     126         -17901.          3793.         11456.           307.         -2345.
  370     127         -17969.          3577.         11424.           365.         -2603.
  371     128         -18036.          3390.         11415.           422.         -2809.
  372     129         -18102.          3224.         11421.           478.         -2980.
  373     130         -18167.          3072.         11438.           534.         -3124.
  374     131         -18230.          2931.         11461.           589.         -3249.
  375     132         -18292.          2799.         11490.           643.         -3360.
  376     133         -18353.          2675.         11523.           697.         -3458.
  377     134         -18412.          2556.         11558.           750.         -3548.
  378     135         -18470.          2443.         11595.           803.         -3629.
  379     136         -18526.          2334.         11633.           854.         -3705.
  380     137         -18581.          2229.         11672.           905.         -3774.
  381     138         -18635.          2128.         11711.           956.         -3839.
  382     139         -18687.          2031.         11750.          1005.         -3900.
  383     140         -18737.          1937.         11790.          1054.         -3957.
  384     141         -18786.          1845.         11829.          1102.         -4010.
  385     142         -18834.          1757.         11867.          1149.         -4061.
  386     143         -18879.          1672.         11905.          1195.         -4108.
  387     144         -18924.          1589.         11942.          1240.         -4153.
  388     145         -18967.          1508.         11978.          1285.         -4196.
  389     146         -19008.          1431.         12013.          1328.         -4236.
  390     147         -19047.          1355.         12047.          1371.         -4274.
  391     148         -19085.          1283.         12080.          1413.         -4310.
  392     149         -19122.          1213.         12113.          1453.         -4343.
  393     150         -19157.          1145.         12144.          1493.         -4375.
  394     151         -19190.          1079.         12173.          1532.         -4405.
  395     152         -19221.          1016.         12202.          1570.         -4433.
  396     153         -19251.           956.         12229.          1606.         -4460.
  397     154         -19280.           898.         12255.          1642.         -4484.
  398     155         -19306.           842.         12280.          1677.         -4507.
  399     156         -19331.           789.         12304.          1710.         -4529.
  400     157         -19354.           738.         12326.          1743.         -4548.
  401     158         -19376.           689.         12346.          1774.         -4566.
  402     159         -19395.           643.         12366.          1805.         -4582.
  403     160         -19414.           599.         12383.          1834.         -4597.
  404     161         -19430.           557.         12400.          1862.         -4610.
  405     162         -19445.           518.         12415.          1889.         -4622.
  406     163         -19458.           482.         12429.          1915.         -4632.
  407     164         -19469.           447.         12441.          1940.         -4641.
  408     165         -19478.           416.         12451.          1964.         -4648.
  409     166         -19486.           386.         12460.          1986.         -4653.
  410     167         -19492.           359.         12468.          2008.         -4657.
  411     168         -19497.           335.         12474.          2028.         -4660.
  412     169         -19499.           312.         12479.          2047.         -4661.
  413     170         -19500.           293.         12482.          2065.         -4660.
  414     171         -19499.           275.         12484.          2082.         -4658.
  415     172         -19497.           260.         12484.          2097.         -4655.
  416     173         -19492.           248.         12483.          2112.         -4650.
  417     174         -19486.           238.         12480.          2125.         -4643.
  418     175         -19478.           230.         12476.          2137.         -4635.
  419     176         -19469.           225.         12470.          2148.         -4626.
  420     177         -19458.           222.         12462.          2158.         -4615.
  421     178         -19445.           221.         12454.          2166.         -4603.
  422     179         -19430.           223.         12443.          2174.         -4589.
  423     180         -19414.           228.         12431.          2180.         -4574.
  424     181         -19395.           235.         12418.          2185.         -4558.
  425     182         -19376.           244.         12403.          2189.         -4540.
  426     183         -19354.           255.         12386.          2192.         -4521.
  427     184         -19331.           269.         12368.          2194.         -4500.
  428     185         -19306.           286.         12349.          2194.         -4477.
  429     186         -19280.           304.         12328.          2194.         -4454.
  430     187         -19251.           326.         12305.          2192.         -4429.
  431     188         -19221.           349.         12281.          2189.         -4402.
  432     189         -19190.           375.         12255.          2185.         -4375.
  433     190         -19157.           403.         12228.          2180.         -4345.
  434     191         -19122.           433.         12200.          2174.         -4315.
  435     192         -19085.           466.         12170.          2167.         -4283.
  436     193         -19047.           501.         12138.          2158.         -4250.
  437     194         -19008.           539.         12105.          2149.         -4215.
  438     195         -18967.           578.         12071.          2138.         -4179.
  439     196         -18924.           620.         12035.          2127.         -4142.
  440     197         -18879.           664.         11998.          2115.         -4103.
  441     198         -18834.           711.         11959.          2101.         -4063.
  442     199         -18786.           759.         11919.          2087.         -4022.
  443     200         -18737.           810.         11877.          2071.         -3979.
  444     201         -18687.           863.         11834.          2055.         -3935.
  445     202         -18635.           918.         11790.          2037.         -3890.
  446     203         -18581.           975.         11744.          2019.         -3844.
  447     204         -18526.          1034.         11697.          2000.         -3796.
  448     205         -18470.          1095.         11648.          1979.         -3747.
  449     206         -18412.          1159.         11598.          1958.         -3697.
  450     207         -18353.          1224.         11547.          1936.         -3645.
  451     208         -18292.          1292.         11494.          1914.         -3593.
  452     209         -18230.          1361.         11440.          1890.         -3539.
  453     210         -18167.          1433.         11385.          1866.         -3484.
  454     211         -18102.          1506.         11328.          1840.         -3428.
  455     212         -18036.          1581.         11270.          1814.         -3370.
  456     213         -17969.          1658.         11211.          1788.         -3312.
  457     214         -17901.          1737.         11151.          1760.         -3252.
  458     215         -17831.          1818.         11089.          1732.         -3192.
  459     216         -17760.          1901.         11026.          1703.         -3130.
  460     217         -17688.          1985.         10962.          1674.         -3067.
  461     218         -17614.          2071.         10897.          1643.         -3003.
  462     219         -17539.          2159.         10830.          1612.         -2938.
  463     220         -17464.          2248.         10762.          1581.         -2872.
  464     221         -17387.          2340.         10693.          1549.         -2805.
  465     222         -17309.          2432.         10623.          1517.         -2737.
  466     223         -17230.          2527.         10552.          1483.         -2668.
  467     224         -17149.          2622.         10479.          1450.         -2598.
  468     225         -17068.          2720.         10406.          1416.         -2527.
  469     226         -16986.          2819.         10331.          1381.         -2455.
  470     227         -16903.          2919.         10256.          1346.         -2382.
  471     228         -16819.          3020.         10179.          1311.         -2308.
  472     229         -16733.          3123.         10101.          1275.         -2234.
  473     230         -16647.          3228.         10022.          1239.         -2158.
  474     231         -16560.          3333.          9942.          1203.         -2082.
  475     232         -16473.          3440.          9862.          1166.         -2005.
  476     233         -16384.          3548.          9780.          1129.         -1927.
  477     234         -16295.          3657.          9697.          1092.         -1848.
  478     235         -16204.          3768.          9613.          1054.         -1769.
  479     236         -16113.          3879.          9529.          1017.         -1689.
  480     237         -16022.          3992.          9443.           979.         -1608.
  481     238         -15929.          4105.          9357.           941.         -1526.
  482     239         -15836.          4219.          9270.           903.         -1444.
  483     240         -15743.          4335.          9182.           865.         -1361.
  484     241         -15648.          4451.          9093.           827.         -1278.
  485     242         -15553.          4568.          9003.           789.         -1194.
  486     243         -15458.          4686.          8912.           750.         -1109.
  487     244         -15362.          4805.          8821.           712.         -1024.
  488     245         -15265.          5735.          9438.             8.           -84.
  489     246         -15168.          5415.          8961.            13.          -779.
  490     247         -15071.          5173.          8551.            14.         -1332.
  491     248         -14973.          5044.          8237.            14.         -1678.
  492     249         -14874.          4984.          7983.            12.         -1895.
  493     250         -14776.          4967.          7766.            10.         -2034.
  494     251         -14677.          4978.          7572.             6.         -2121.
  495     252         -14578.          5008.          7394.             2.         -2173.
  496     253         -14478.          5052.          7228.            -3.         -2201.
  497     254         -14378.          5107.          7069.            -9.         -2210.
  498     255         -14278.          5170.          6918.           -15.         -2206.
  499     256         -14178.          5239.          6770.           -23.         -2191.
  500     257         -14078.          5313.          6627.           -31.         -2168.
  501     258         -13977.          5392.          6487.           -39.         -2138.
  502     259         -13877.          5473.          6349.           -48.         -2102.
  503     260         -13776.          5558.          6213.           -58.         -2062.
  504     261         -13675.          5645.          6080.           -68.         -2018.
  505     262         -13574.          5735.          5947.           -79.         -1971.
  506     263         -13474.          5826.          5816.           -90.         -1921.
  507     264         -13373.          5919.          5686.          -101.         -1869.
  508     265         -13273.          6013.          5558.          -113.         -1815.
  509     266         -13172.          6108.          5430.          -126.         -1760.
  510     267         -13072.          6205.          5303.          -138.         -1702.
  511     268         -12972.          6302.          5177.          -151.         -1644.
  512     269         -12872.          6400.          5052.          -165.         -1585.
  513     270         -12772.          6499.          4927.          -178.         -1524.
  514     271         -12673.          6598.          4803.          -192.         -1463.
  515     272         -12574.          6698.          4680.          -206.         -1401.
  516     273         -12475.          6798.          4558.          -220.         -1339.
  517     274         -12376.          6899.          4436.          -234.         -1276.
  518     275         -12278.          7000.          4315.          -249.         -1212.
  519     276         -12181.          7101.          4194.          -263.         -1149.
  520     277         -12083.          7202.          4075.          -277.         -1085.
  521     278         -11986.          7302.          3955.          -292.         -1021.
  522     279         -11890.          7403.          3837.          -307.          -956.
  523     280         -11794.          7504.          3719.          -321.          -892.
  524     281         -11699.          7605.          3602.          -335.          -828.
  525     282         -11605.          7705.          3486.          -350.          -764.
