 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
  128     128        1          -4932.         -1944.          -483.            -0.          -161.         -3979.        -11498.        -11646.     -41392912.     -41392912.
  129     129        1          -1790.         -1644.          -403.            -0.          -137.         -3972.         -7945.         -8048.     -28603662.     -28603662.
  130     130        1          -1959.         -8088.         -2122.            -0.          -676.         -3878.        -16724.        -16938.     -60207316.     -60207316.
  131     131        1          -4155.        -10689.         -2816.            -0.          -899.         -3753.        -22312.        -22596.     -80324552.     -80324552.
  132     132        1          -5320.        -10536.         -2775.            -0.          -891.         -3623.        -23145.        -23437.     -83321904.     -83321904.
  133     133        1          -5101.        -12183.         -3215.            -0.         -1036.         -3483.        -25018.        -25332.     -90063624.     -90063624.
  134     134        1          -2854.         -7263.         -1902.            -0.          -621.         -3392.        -16033.        -16233.     -57717480.     -57717480.
  135     135        1          -1706.         -3677.          -945.            -0.          -316.         -3335.         -9979.        -10104.     -35926044.     -35926044.
  136     136        1          -2010.         -4800.         -1245.            -0.          -415.         -3271.        -11741.        -11886.     -42267200.     -42267200.
  137     137        1          -2111.         -4627.         -1199.            -0.          -402.         -3208.        -11546.        -11689.     -41566992.     -41566992.
  138     138        1          -4189.         -5027.         -1305.            -0.          -439.         -3132.        -14092.        -14264.     -50730596.     -50730596.
  139     139        1          -4442.         -5815.         -1516.            -0.          -511.         -3049.        -15332.        -15519.     -55196824.     -55196824.
  140     140        1          -5050.         -5586.         -1454.            -0.          -493.         -2965.        -15548.        -15737.     -55974468.     -55974468.
  141     141        1          -3192.         -2828.          -719.            -0.          -251.         -2911.         -9901.        -10020.     -35642072.     -35642072.
  142     142        1          -4273.         -3937.         -1015.            -0.          -351.         -2845.        -12421.        -12570.     -44716804.     -44716804.
  143     143        1          -1757.          -677.          -145.            -0.           -61.         -2814.         -5453.         -5518.     -19630300.     -19630300.
  144     144        1          -2044.         -1223.          -290.            -0.          -110.         -2781.         -6449.         -6525.     -23215020.     -23215020.
  145     145        1          -3547.         -4202.         -1085.            -0.          -381.         -2719.        -11934.        -12075.     -42962824.     -42962824.
  146     146        1           -605.         -1304.          -312.            -0.          -119.         -2691.         -5031.         -5090.     -18110540.     -18110540.
  147     147        1           -730.           511.           172.             0.            47.         -2981.         -2981.         -2924.     -10732966.     -10732966.
  148     148        1          -5354.         -4223.         -1091.            -0.          -389.         -2912.        -13969.        -14132.     -50288124.     -50288124.
  149     149        1          -6030.         -4819.         -1250.            -0.          -446.         -2833.        -15378.        -15557.     -55361932.     -55361932.
  150     150        1          -5979.         -6105.         -1593.            -0.          -568.         -2747.        -16991.        -17187.     -61168916.     -61168916.
  151     151        1          -3125.         -5910.         -1541.            -0.          -553.         -2676.        -13805.        -13963.     -49696456.     -49696456.
  152     152        1          -5388.         -5095.         -1324.            -0.          -479.         -2601.        -14887.        -15057.     -53591468.     -53591468.
  153     153        1          -4476.         -6801.         -1779.            -0.          -642.         -2519.        -16217.        -16402.     -58381904.     -58381904.
  154     154        1          -5405.         -7070.         -1850.            -0.          -671.         -2432.        -17428.        -17626.     -62742240.     -62742240.
  155     155        1          -5253.         -7337.         -1922.            -0.          -700.         -2345.        -17557.        -17755.     -63204680.     -63204680.
  156     156        1          -5776.         -9192.         -2417.            -0.          -881.         -2244.        -20510.        -20740.     -73835232.     -73835232.
  157     157        1          -5151.         -9726.         -2559.            -0.          -937.         -2142.        -20516.        -20745.     -73859248.     -73859248.
  158     158        1          -4071.         -9769.         -2571.            -0.          -946.         -2047.        -19403.        -19618.     -69849760.     -69849760.
  159     159        1          -2770.         -7835.         -2055.            -0.          -762.         -1971.        -15392.        -15563.     -55412676.     -55412676.
  160     160        1          -3716.         -7523.         -1971.            -0.          -735.         -1894.        -15839.        -16013.     -57019072.     -57019072.
  161     161        1          -5624.         -8391.         -2203.            -0.          -824.         -1803.        -18845.        -19052.     -67842872.     -67842872.
  162     162        1          -4898.         -9154.         -2407.            -0.          -903.         -1711.        -19073.        -19281.     -68664344.     -68664344.
  163     163        1          -2500.         -5246.         -1364.            -0.          -520.         -1655.        -11285.        -11407.     -40625804.     -40625804.
  164     164        1          -5912.         -4261.         -1101.            -0.          -425.         -1592.        -13290.        -13434.     -47845784.     -47845784.
  165     165        1          -3783.         -4617.         -1196.            -0.          -462.         -1537.        -11595.        -11720.     -41742568.     -41742568.
  166     166        1             -0.         -2120.          -530.            -0.          -213.         -1515.         -4378.         -4425.     -15759861.     -15759861.
  167     167        1          -5591.         -7288.         -1909.            -0.          -736.         -1437.        -16961.        -17142.     -61060036.     -61060036.
  168     168        1          -1015.         -5233.         -1360.            -0.          -531.         -1391.         -9531.         -9632.     -34311992.     -34311992.
  169     169        1          -1591.         -2012.          -501.            -0.          -205.         -1364.         -5673.         -5733.     -20422874.     -20422874.
  170     170        1          -5591.         -6187.         -1615.            -0.          -634.         -1295.        -15321.        -15483.     -55156568.     -55156568.
  171     171        1          -5844.         -8790.         -2309.            -0.          -905.         -1208.        -19056.        -19255.     -68600728.     -68600728.
  172     172        1          -5472.         -8759.         -2301.            -0.          -906.         -1122.        -18560.        -18754.     -66817224.     -66817224.
  173     173        1          -5878.         -7228.         -1893.            -0.          -751.         -1045.        -16794.        -16968.     -60458152.     -60458152.
  174     174        1          -5844.         -5325.         -1385.            -0.          -556.          -980.        -14090.        -14235.     -50722676.     -50722676.
  175     175        1          -5624.         -6654.         -1740.            -0.          -698.          -910.        -15625.        -15786.     -56250908.     -56250908.
  176     176        1          -5776.         -9859.         -2595.            -0.         -1038.          -820.        -20088.        -20294.     -72317832.     -72317832.
  177     177        1          -5776.        -10616.         -2797.            -0.         -1123.          -725.        -21037.        -21252.     -75732936.     -75732936.
  178     178        1          -5844.         -9962.         -2622.            -0.         -1058.          -635.        -20122.        -20327.     -72440736.     -72440736.
  179     179        1          -5253.         -9828.         -2587.            -0.         -1049.          -549.        -19266.        -19461.     -69357072.     -69357072.
  180     180        1          -4239.         -9111.         -2395.            -0.          -977.          -473.        -17195.        -17368.     -61900516.     -61900516.
  181     181        1          -3682.         -6016.         -1569.            -0.          -648.          -417.        -12332.        -12456.     -44394060.     -44394060.
  182     182        1          -2973.         -1681.          -413.            -0.          -182.          -391.         -5639.         -5696.     -20301394.     -20301394.
  183     183        1          -3817.         -1705.          -419.            -0.          -185.          -363.         -6489.         -6554.     -23362176.     -23362176.
  184     184        1          -3598.         -1432.          -346.            -0.          -156.          -337.         -5869.         -5927.     -21127978.     -21127978.
  185     185        1          -5439.         -1243.          -296.            -0.          -136.          -305.         -7419.         -7492.     -26707078.     -26707078.
  186     186        1          -2331.           608.           198.             0.            67.          -297.         -1755.         -1772.      -6317084.      -6317084.
  187     187        1          -1297.          -283.           -39.            -0.           -31.          -289.         -1939.         -1958.      -6981818.      -6981818.
  188     188        1          -2500.           -47.            23.            -0.            -5.          -277.         -2806.         -2833.     -10100683.     -10100683.
  189     189        1          -4408.          -394.           -69.            -0.           -44.          -255.         -5171.         -5221.     -18614298.     -18614298.
  190     190        1          -4290.          2463.           693.             0.           276.          -250.         -1108.         -1119.      -3989003.      -3989003.
  191     191        1          -5185.          -214.           -21.            -0.           -24.          -226.         -5671.         -5726.     -20416566.     -20416566.
  192     192        1          -2838.          1524.           443.             0.           172.          -222.          -920.          -929.      -3313275.      -3313275.
  193     193        1          -3462.           241.           100.             0.            27.          -208.         -3302.         -3333.     -11885722.     -11885722.
  194     194        1          -3969.          1184.           352.             0.           135.          -198.         -2496.         -2520.      -8986932.      -8986932.
  195     195        1          -4341.          1016.           307.             0.           116.          -185.         -3087.         -3116.     -11112672.     -11112672.
  196     196        1          -3885.         -1455.          -352.            -0.          -167.          -161.         -6019.         -6076.     -21669960.     -21669960.
  197     197        1          -2821.         -1600.          -391.            -0.          -184.          -139.         -5135.         -5183.     -18484334.     -18484334.
  198     198        1          -4729.         -2623.          -664.            -0.          -303.          -105.         -8425.         -8504.     -30328400.     -30328400.
  199     199        1          -5506.         -5223.         -1358.            -0.          -607.           -54.        -12747.        -12866.     -45888736.     -45888736.
