 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
  110     110        1          -2319.          -773.           -58.           133.            -0.            -0.         -3017.         -3072.     -10861109.     -10861109.
  111     111        1          -1660.          -914.           -35.           132.            -0.            -0.         -2478.         -2524.      -8920885.      -8920885.
  112     112        1           -431.          2117.           -43.           125.             0.            -0.          1768.          1802.       6365666.       6365666.
  113     113        1          -1575.          1103.           -35.           122.             0.            -0.          -385.          -393.      -1386143.      -1386143.
  114     114        1          -1070.          1918.           -37.           116.             0.            -0.           927.           946.       3338629.       3338629.
  115     115        1          -1035.          2331.           -43.           111.             0.            -0.          1364.          1393.       4909418.       4909418.
  116     116        1           -933.          1907.           -46.           106.             0.            -0.          1035.          1057.       3724311.       3724311.
  117     117        1          -1960.          1423.           -36.           103.             0.            -0.          -469.          -479.      -1687074.      -1687074.
  118     118        1          -1498.          1171.           -26.           101.             0.            -0.          -252.          -258.       -908723.       -908723.
  119     119        1          -1566.          1054.           -14.            98.             0.            -0.          -429.          -439.      -1543443.      -1543443.
  120     120        1          -2285.          1127.             5.            95.             0.            -0.         -1058.         -1085.      -3808943.      -3808943.
  121     121        1          -1506.           971.            18.            92.             0.            -0.          -425.          -436.      -1531052.      -1531052.
  122     122        1          -1917.            -1.            94.           104.            -0.         -4970.         -6690.         -6996.     -24083246.     -24083246.
  123     123        1          -1660.           532.           156.           116.             0.         -4730.         -5586.         -5831.     -20109048.     -20109048.
  124     124        1          -1789.           246.           216.           129.             0.         -4497.         -5695.         -5935.     -20502538.     -20502538.
  125     125        1           -578.           606.          -113.            85.             0.         -5874.         -5874.         -5747.     -21146502.     -21146502.
  126     126        1           -619.           663.          -130.            85.             0.         -5964.         -5964.         -5955.     -21469096.     -21469096.
  127     127        1          -1138.           821.           -73.            97.             0.         -5752.         -6046.         -6274.     -21766558.     -21766558.
  128     128        1          -2499.          -408.             2.           111.            -0.         -5465.         -8259.         -8560.     -29733742.     -29733742.
  129     129        1           -907.          -128.            59.           123.            -0.         -5255.         -6108.         -6323.     -21990068.     -21990068.
  130     130        1           -993.         -3258.           132.           138.            -0.         -4965.         -8946.         -9251.     -32206518.     -32206518.
  131     131        1          -2105.         -4437.           214.           155.            -0.         -4624.        -10797.        -11154.     -38870264.     -38870264.
  132     132        1          -2696.         -4237.           295.           173.            -0.         -4293.        -10757.        -11102.     -38726812.     -38726812.
