 Day of  Day of              -------------Heat flow rates out in W----------------------------------------------
 sim.     year     Year    Radiation    Air       Floor   Lower wall  Upper wall   Feed      Total    Total ave.       HH            HHave          HHadj         HHadjave   SST      SS
   38      38        1   -2516.800   1962.301    500.867      0.000     61.150     -0.000      7.518      8.189         27064.         29482.         27064.         29482.  7.95      F
   39      39        1   -2516.800   1961.357    500.626      0.000     61.121     -0.000      6.304      6.868         22695.         24725.         22695.         24725.  7.95      F
   40      40        1   -2516.800   1960.566    500.424      0.000     61.096     -0.000      5.286      5.759         19030.         20733.         19030.         20733.  7.95      F
   41      41        1   -2516.800   1959.903    500.255      0.000     61.075     -0.000      4.433      4.829         15958.         17385.         15958.         17385.  7.95      F
   42      42        1   -2516.800   1959.347    500.113      0.000     61.058     -0.000      3.718      4.050         13383.         14578.         13383.         14578.  7.95      F
   43      43        1   -2516.800   1958.880    499.994      0.000     61.044     -0.000      3.118      3.396         11224.         12227.         11224.         12227.  7.95      F
   44      44        1   -2516.800   1958.489    499.894      0.000     61.031     -0.000      2.615      2.848          9413.         10253.          9413.         10253.  7.95      F
   45      45        1   -2516.800   1958.161    499.810      0.000     61.021     -0.000      2.192      2.388          7893.          8598.          7893.          8598.  7.95      F
   46      46        1   -2516.800   1957.885    499.740      0.000     61.013     -0.000      1.838      2.003          6617.          7210.          6617.          7210.  7.95      F
   47      47        1   -2516.800   1957.655    499.681      0.000     61.005     -0.000      1.541      1.679          5548.          6045.          5548.          6045.  7.95      F
   48      48        1   -2516.800   1957.461    499.632      0.000     60.999     -0.000      1.292      1.408          4651.          5067.          4651.          5067.  7.95      F
   49      49        1   -2516.800   1957.299    499.590      0.000     60.994     -0.000      1.083      1.180          3900.          4249.          3900.          4249.  7.95      F
   50      50        1   -2516.800   1957.163    499.556      0.000     60.990     -0.000      0.909      0.990          3271.          3563.          3271.          3563.  7.95      F
   51      51        1   -2516.800   1957.049    499.526      0.000     60.987     -0.000      0.762      0.830          2742.          2987.          2742.          2987.  7.95      F
   52      52        1   -2516.800   1956.953    499.502      0.000     60.984     -0.000      0.638      0.696          2298.          2505.          2298.          2505.  7.95      F
   53      53        1   -2516.800   1956.873    499.482      0.000     60.981     -0.000      0.536      0.584          1928.          2101.          1928.          2101.  7.95      F
   54      54        1   -2516.800   1956.806    499.464      0.000     60.979     -0.000      0.450      0.489          1619.          1762.          1619.          1762.  7.95      F
   55      55        1   -2516.800   1956.750    499.450      0.000     60.977     -0.000      0.377      0.411          1358.          1479.          1358.          1479.  7.95      F
   56      56        1   -2516.800   1956.703    499.438      0.000     60.976     -0.000      0.316      0.345          1138.          1240.          1138.          1240.  7.95      F
   57      57        1   -2516.800   1956.663    499.428      0.000     60.974     -0.000      0.265      0.289           955.          1040.           955.          1040.  7.95      F
   58      58        1   -2516.800   1956.630    499.420      0.000     60.973     -0.000      0.223      0.242           804.           872.           804.           872.  7.95      F
   59      59        1   -2516.800   1956.602    499.412      0.000     60.973     -0.000      0.186      0.203           671.           731.           671.           731.  7.95      F
   60      60        1   -2516.800   1956.579    499.406      0.000     60.972     -0.000      0.157      0.171           566.           617.           566.           617.  7.95      F
   61      61        1   -2516.800   1956.559    499.401      0.000     60.971     -0.000      0.132      0.143           474.           514.           474.           514.  7.95      F
   62      62        1   -2516.800   1956.544    499.397      0.000     60.971     -0.000      0.112      0.121           404.           437.           404.           437.  7.95      F
   63      63        1   -2516.800   1956.529    499.394      0.000     60.970     -0.000      0.093      0.102           333.           367.           333.           367.  7.95      F
   64      64        1   -2516.800   1956.517    499.391      0.000     60.970     -0.000      0.078      0.084           281.           301.           281.           301.  7.95      F
   65      65        1   -2516.800   1956.510    499.389      0.000     60.970     -0.000      0.068      0.073           246.           262.           246.           262.  7.95      F
   66      66        1   -2516.800   1956.502    499.387      0.000     60.969     -0.000      0.059      0.063           211.           227.           211.           227.  7.95      F
   67      67        1   -2516.800   1956.495    499.385      0.000     60.969     -0.000      0.049      0.053           175.           192.           175.           192.  7.95      F
   68      68        1   -2516.800   1956.487    499.383      0.000     60.969     -0.000      0.039      0.044           140.           157.           140.           157.  7.95      F
   69      69        1   -2516.800   1956.479    499.381      0.000     60.969     -0.000      0.029      0.034           104.           122.           104.           122.  7.95      F
   70      70        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   71      71        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   72      72        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   73      73        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   74      74        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   75      75        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   76      76        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   77      77        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   78      78        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   79      79        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   80      80        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   81      81        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   82      82        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   83      83        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   84      84        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   85      85        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   86      86        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   87      87        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   88      88        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   89      89        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   90      90        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   91      91        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   92      92        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   93      93        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   94      94        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   95      95        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   96      96        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   97      97        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   98      98        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
   99      99        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  100     100        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  101     101        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  102     102        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  103     103        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  104     104        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  105     105        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  106     106        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  107     107        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  108     108        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  109     109        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  110     110        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  111     111        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  112     112        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  113     113        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  114     114        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  115     115        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  116     116        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  117     117        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  118     118        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  119     119        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  120     120        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  121     121        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  122     122        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  123     123        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  124     124        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  125     125        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  126     126        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  127     127        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  128     128        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  129     129        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  130     130        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  131     131        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  132     132        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  133     133        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  134     134        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  135     135        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  136     136        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  137     137        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  138     138        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  139     139        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  140     140        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  141     141        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  142     142        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  143     143        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  144     144        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  145     145        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  146     146        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  147     147        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  148     148        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  149     149        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  150     150        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  151     151        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  152     152        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  153     153        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  154     154        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  155     155        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  156     156        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  157     157        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  158     158        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  159     159        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  160     160        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  161     161        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  162     162        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  163     163        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  164     164        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  165     165        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  166     166        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  167     167        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  168     168        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  169     169        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  170     170        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  171     171        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  172     172        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  173     173        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  174     174        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  175     175        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  176     176        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  177     177        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  178     178        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  179     179        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  180     180        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  181     181        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  182     182        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  183     183        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  184     184        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  185     185        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  186     186        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  187     187        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  188     188        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  189     189        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  190     190        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  191     191        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  192     192        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  193     193        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  194     194        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  195     195        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  196     196        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  197     197        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  198     198        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  199     199        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  200     200        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  201     201        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  202     202        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  203     203        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  204     204        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  205     205        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  206     206        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  207     207        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  208     208        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  209     209        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  210     210        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  211     211        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  212     212        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  213     213        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  214     214        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  215     215        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  216     216        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  217     217        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  218     218        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  219     219        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
  220     220        1   -2516.800   1956.478    499.381      0.000     60.969     -0.000      0.028      0.028            99.            99.            99.            99.  7.95      F
